id,closing_date,label,amount,bank_amount,bank_status,bank_matched_at
10fb0f96-fd41-4d53-818f-7e5ec6f52094,2026-09-06,Bonifico,0,,in_attesa,
27eecc51-2963-4c34-9138-f75988968a12,2026-09-06,Bonifico,0,,in_attesa,
86c480e7-c72a-49e2-933f-045eb5629f76,2026-09-06,Bonifico,0,,in_attesa,
9caed1b1-9e3d-4bf6-a25c-97137342deb1,2026-09-06,Bonifico,0,,in_attesa,
f096d67e-e60a-446d-b3a0-5a2697f73da6,2026-09-06,Contanti,649.75,,in_attesa,
59e4a7a7-2d8f-47b5-8113-a93dfbdc23b3,2026-09-06,Contanti,344.7,,in_attesa,
cb5b6115-ef23-4c5c-90fc-5af9e28e829c,2026-09-06,Contanti,417.95,,in_attesa,
923eba09-7ce0-44d0-b5ca-4cfd857ac676,2026-09-06,Contanti,329.7,,in_attesa,
b9d61326-3a4d-4b12-8048-aefd4fc97a48,2026-09-06,Contanti,621.75,,in_attesa,
b113a26a-bfda-483e-81bd-205eef9bf8d5,2026-09-06,Contanti,415.4,,in_attesa,
135059ae-4842-4ddd-b762-07327930bf1d,2026-09-06,Contanti,499,,in_attesa,
e398f0d6-f9b4-4a23-b7b0-a27d29e882f1,2026-09-06,Fatture,0,,in_attesa,
d82ff341-f956-4dfb-a1a4-4951eccdfd1d,2026-09-06,Fatture,0,,in_attesa,
572f457c-0431-448b-b0f4-253d2643bed7,2026-09-06,Fatture,0,,in_attesa,
b6b4a7c9-4e2a-4e41-b767-40cfbb3120f3,2026-09-06,Fatture,0,,in_attesa,
8a1be250-3048-4c68-81bf-4a27923f7173,2026-09-06,Fatture,0,,in_attesa,
1cd2f085-bea1-4c53-bab8-f0fcd2472640,2026-09-06,Fatture,0,,in_attesa,
adaaab0d-79c5-43b9-894f-88f203023b6e,2026-09-06,Fatture,0,,in_attesa,
3ddfa816-e4aa-4876-a4c6-7bade2946566,2026-09-06,Pay by link,0,,in_attesa,
ced75402-3fac-4ecb-86e9-831c2fd5abd8,2026-09-06,Pay by link,0,,in_attesa,
b59f3f62-2021-49c2-80e5-9212eb86a147,2026-09-06,Pay by link,0,,in_attesa,
27c3f4ca-f865-4a2b-b924-0637b6cd5afa,2026-09-06,Pay by link,0,,in_attesa,
48bb9d3f-024e-437f-bebd-145e3dacadcf,2026-09-06,Pay by link,0,,in_attesa,
cf18dcbb-3cfd-4130-88f5-d0e636e0c215,2026-09-06,Pay by link,0,,in_attesa,
7c9d7450-74d2-4e09-bf1b-2b8c7b39ab09,2026-09-06,Pay by link,0,,in_attesa,
7c048e84-1257-4aa9-81e9-4d20bc775e17,2026-09-06,POS BCC,998.65,998.65,accreditato,2026-09-07T18:18:02.988712+00:00
c7d584ee-f5f8-4d7c-9c64-1e46cea77d67,2026-09-06,POS BCC,25.5,25.5,accreditato,2026-09-07T18:18:02.988712+00:00
8ae75c80-bbe5-40ce-bc76-18a74510a296,2026-09-06,POS BCC,4197.9,4197.9,accreditato,2026-09-07T18:18:02.988712+00:00
652f4ac5-3e83-48a9-80bf-d300a52f78a4,2026-09-06,POS BCC,2704.05,2704.05,accreditato,2026-09-07T18:18:02.988712+00:00
e3a07b1e-7105-4b6e-8b1f-adb7f911f8c5,2026-09-06,POS BCC,0,,in_attesa,
a6ba312c-a388-4e8a-995f-aa23c366dc19,2026-09-06,POS BCC,0,,in_attesa,
95de2f5a-d2ad-474e-a8e2-1342ae550024,2026-09-06,POS BCC,31.5,31.5,accreditato,2026-09-07T18:18:02.988712+00:00
5e950672-f055-440a-9021-ed0b36521f87,2026-09-06,POS BCC Amex,153.9,153.9,accreditato,2026-09-07T18:18:02.988712+00:00
de3d5bfc-f0fd-4f3a-b5ef-1282caf8fd67,2026-09-06,POS BCC Amex,312.5,312.5,accreditato,2026-09-07T18:18:02.988712+00:00
efa4a15d-d315-470d-9744-0891e7f48433,2026-09-06,POS BCC Amex,0,,in_attesa,
1f87592c-2948-466f-999e-19afc4fdac8a,2026-09-06,POS BCC Amex,0,,in_attesa,
a7e9902e-7589-4676-bfbb-058d8c8aee6a,2026-09-06,POS BCC Amex,0,,in_attesa,
8f32e014-f744-465b-aa9d-7b6056a18854,2026-09-06,POS BCC Amex,0,,in_attesa,
1c146066-ab61-444f-a6cd-defa8f6c9ca8,2026-09-06,POS BCC Amex,0,,in_attesa,
b8f02587-f389-4af3-890f-5b9b3be9d7cc,2026-09-06,POS MPS,69.5,69.09,accreditato,2026-09-07T14:12:45.984948+00:00
f091c027-4436-485f-809b-19d025b366e3,2026-09-06,POS MPS,1210.5,1201.23,accreditato,2026-09-07T14:12:45.984948+00:00
7c032b29-645a-4f06-bf17-9af7cf14fc37,2026-09-06,POS MPS,39,39,accreditato,2026-09-07T14:12:45.984948+00:00
f8c3b88b-6633-4a4a-92a5-786a8d2f8bc8,2026-09-06,POS MPS,1641.3,1626.98,accreditato,2026-09-07T14:12:45.984948+00:00
b1cf0582-fe6f-4667-ad94-46a57eda5817,2026-09-06,POS MPS,221.31,219.51,accreditato,2026-09-07T14:12:45.984948+00:00
a746ac74-274e-42be-9a74-a80ce9e58121,2026-09-06,POS MPS,2134.1,2118.86,accreditato,2026-09-07T14:12:45.984948+00:00
338498ac-cafb-42c0-bf2f-fdb647864596,2026-09-06,POS MPS,2191.36,2304.21,differenza,2026-09-07T14:12:45.984948+00:00
213f8439-3306-4b86-a400-36e1757eefd6,2026-09-06,POS MPS Amex,0,,in_attesa,
a24ce5a6-89d7-40d5-8323-670156272409,2026-09-06,POS MPS Amex,0,,in_attesa,
300215fe-4a64-4ea1-8921-ab93eccfe8f2,2026-09-06,POS MPS Amex,0,,in_attesa,
e859d3d8-3c89-4b4f-8a76-498085821d57,2026-09-06,POS MPS Amex,0,,in_attesa,
4402ba2f-4e38-45a6-8ab8-6f66dc888a8c,2026-09-06,POS MPS Amex,129.7,2304.21,accreditato,2026-09-07T14:12:45.984948+00:00
8f7f2f4d-26cb-4440-8a83-0a897f07d2da,2026-09-06,POS MPS Amex,0,,in_attesa,
8787234a-a711-435f-a668-34c9c75759d9,2026-09-06,POS MPS Amex,0,,in_attesa,
225a3b30-c979-4e67-a039-e2430c1e0de1,2026-09-07,Bonifico,0,,in_attesa,
705c400b-a116-43c0-affc-da670bc982d2,2026-09-07,Bonifico,0,,in_attesa,
31992c78-6465-4c9d-8496-be5825cce74c,2026-09-07,Bonifico,0,,in_attesa,
e56e1d77-84e6-4f43-8536-21cfae6178e5,2026-09-07,Bonifico,0,,in_attesa,
bd608ed3-7136-4329-aef7-38e70785dd4e,2026-09-07,Bonifico,0,,in_attesa,
52b5796f-5ff1-4ffc-991d-966725b5d21b,2026-09-07,Bonifico,0,,in_attesa,
f142ec4d-eb74-4613-9f09-f728403dc507,2026-09-07,Bonifico,0,,in_attesa,
dd8f3fe0-bed7-4d23-bfcc-30f4f0783755,2026-09-07,Contanti,234,,in_attesa,
5a351ace-ae2d-4917-b4cd-7143423a6fa1,2026-09-07,Contanti,148.1,,in_attesa,
c4bb962a-fb13-4eb4-8886-097785b48aa0,2026-09-07,Contanti,176.1,,in_attesa,
89a7f69e-b5ac-4f52-aff4-39d80e8045b0,2026-09-07,Contanti,132.15,,in_attesa,
e09fc400-7fbc-4cec-9ca9-20082991cfb5,2026-09-07,Contanti,16.5,,in_attesa,
d9d200a3-5bde-43b6-8417-ebe2facdfd64,2026-09-07,Contanti,209.95,,in_attesa,
06080511-e1fa-407f-ae38-acfdc1e80d24,2026-09-07,Contanti,185.7,,in_attesa,
a6dce6d4-c3a8-4939-943b-0ea880fba596,2026-09-07,Fatture,0,,in_attesa,
cb342e99-116c-4d0d-bb4f-f29c02738c40,2026-09-07,Fatture,0,,in_attesa,
6809e61e-097e-41d0-b49f-e55e12ac7318,2026-09-07,Fatture,0,,in_attesa,
d2e454b5-39e9-40b9-90a8-ab289f065646,2026-09-07,Fatture,0,,in_attesa,
