anno;mese;outlet;acquirer;merchant_code;payment_contract;regime;transato;commissioni;acquiring_fisso;bollo;fonte
2026;07;BRG;nexi;LN0005533489;PC0001450042;netto;29884.62;229.86;2.50;2.00;documento
2026;07;FRC;amex;7377511100;;lordo;1208.84;18.14;0.00;0.00;documento
2026;07;FRC;nexi;LN0005489545;PC0001396411;netto;53626.19;407.04;2.50;2.00;documento
2026;07;PLM;amex;7378034250;;lordo;752.50;11.30;0.00;0.00;documento
2026;07;PLM;nexi;LN0005475974;PC0001392693;netto;56185.04;473.67;2.50;2.00;documento
2026;07;TRN;amex;9341423540;;lordo;2023.22;30.34;0.00;0.00;documento
2026;07;TRN;amex;9341489277;;lordo;115.80;1.73;0.00;0.00;documento
2026;07;TRN;nexi;LN0005755045;PC0001563440;netto;56392.07;431.25;2.50;2.00;documento
2026;07;VDC;amex;7373035260;;lordo;1849.94;27.76;0.00;0.00;documento
2026;07;VDC;nexi;LN0004777495;PC0001000583;lordo;77033.20;597.29;2.50;2.00;documento
2026;07;VLM;amex;7543377782;;lordo;884.04;13.28;0.00;0.00;documento
2026;07;VLM;amex;7543394233;;lordo;1169.75;17.56;0.00;0.00;documento
2026;07;VLM;nexi;LN0005674696;PC0001488287;netto;62180.23;461.69;2.50;2.00;documento
2026;08;BRB;amex;7377153036;;lordo;988.45;14.83;0.00;0.00;documento
2026;08;BRB;nexi;LN0005458723;PC0001379716;netto;40658.04;315.20;2.50;2.00;documento
2026;08;BRG;amex;7379416167;;lordo;103.00;1.55;0.00;0.00;documento
2026;08;BRG;amex;7379605249;;lordo;865.84;12.99;0.00;0.00;documento
2026;08;BRG;nexi;LN0005533489;PC0001450042;netto;36116.00;281.84;2.50;2.00;documento
2026;08;FRC;amex;7377511100;;lordo;1269.72;19.04;0.00;0.00;documento
2026;08;FRC;nexi;LN0005489545;PC0001396411;netto;48796.24;374.06;2.50;2.00;documento
2026;08;PLM;amex;7378034250;;lordo;737.69;11.07;0.00;0.00;documento
2026;08;PLM;nexi;LN0005475974;PC0001392693;netto;42647.43;375.10;2.50;2.00;documento
2026;08;TRN;amex;9341423540;;lordo;603.00;9.06;0.00;0.00;documento
2026;08;TRN;amex;9341489277;;lordo;38.50;0.58;0.00;0.00;documento
2026;08;TRN;nexi;LN0005755045;PC0001563440;netto;39248.73;301.21;2.50;2.00;documento
2026;08;VDC;amex;7373035260;;lordo;1456.95;21.87;0.00;0.00;documento
2026;08;VDC;nexi;LN0004777495;PC0001000583;lordo;62812.10;471.89;2.50;2.00;documento
2026;08;VLM;amex;7543377782;;lordo;694.85;10.42;0.00;0.00;documento
2026;08;VLM;amex;7543394233;;lordo;938.87;14.10;0.00;0.00;documento
2026;08;VLM;nexi;LN0005674696;PC0001488287;netto;31181.35;237.76;2.50;2.00;documento
